Left Hand Side,Right Hand Side,Support,Confidence,Lift
 'ccm','anthem worship',0.0031514888067811346,0.9354838709677419,255.6927499201533
 'reggae', 'roots reggae',0.0032601608346011736,0.8999999999999999,221.83392857142857
 'christian alternative rock', 'christian music',0.0034412808809679055,0.9223300970873787,192.8927625772286
 'new rave','alternative dance',0.003658624936607984,0.834710743801653,169.43400583373847
 'christian music', 'worship',0.0041295370571614864,0.8636363636363636,160.0103721781574
 'christian alternative rock', 'worship',0.0031514888067811346,0.8446601941747574,156.49455919723727
 'new romantic', 'synthpop',0.0031514888067811346,0.5240963855421686,152.29689283449588
 'hard bop','bebop',0.003586176918061291,0.673469387755102,151.15281234444998
 'cool jazz', 'jazz',0.005614721437368688,0.8806818181818181,141.3494318181818
 'jazz','bebop',0.0039121930015214084,0.627906976744186,140.9268292682927
 'contemporary post-bop', 'hard bop',0.004165761066434833,0.7419354838709677,139.3324555628703
 'cool jazz','bebop',0.003948417010794755,0.6193181818181818,138.99916851441242
 'cool jazz', 'hard bop',0.004709121205535028,0.7386363636363635,138.7128942486085
 'contemporary post-bop', 'jazz',0.004817793233355068,0.8580645161290323,137.7193548387097
 'contemporary post-bop', 'cool jazz',0.004817793233355068,0.8580645161290323,134.58936950146628
 'hard bop', 'jazz',0.004455553140621604,0.8367346938775511,134.29591836734696
 'show tunes','broadway',0.003984641020068101,0.7333333333333334,129.7717948717949
 'contemporary post-bop','bebop',0.0031514888067811346,0.5612903225806452,125.97545239968528
 'country road', 'modern country rock',0.004165761066434833,0.5609756097560976,124.88945712037767
 'new romantic', 'new wave',0.005614721437368688,0.9337349397590361,123.3334294114256
 'easy listening', 'lounge',0.0030428167789610956,0.8155339805825244,123.02530638230147
 'new wave', 'synthpop',0.0031514888067811346,0.41626794258373206,120.96308234701587
 'latin hip hop', 'reggaeton',0.0034412808809679055,0.6597222222222222,118.2616341991342
 'hard bop', 'soul jazz',0.0035137288995145985,0.6598639455782314,116.0267775900169
 'country', 'modern country rock',0.003477504890241252,0.489795918367347,109.04279131007243
 'norteno', 'regional mexican',0.00579584148373542,0.8163265306122449,108.86719905353446
 'edm', 'electro house',0.005252481344635224,0.69377990430622,108.20614710891249
 'modern country rock','contemporary country',0.0038035209737013694,0.8467741935483871,106.73994697304464
 'duranguense','banda',0.003115264797507788,0.8686868686868686,106.58208754208754
 'nu metal', 'rap rock',0.003586176918061291,0.47596153846153844,105.11515384615385
 'reggaeton','latin',0.004455553140621604,0.7987012987012987,104.00447194315119
 'regional mexican','banda',0.006339201622835616,0.8454106280193237,103.72624798711755
 'contemporary post-bop', 'soul jazz',0.003187712816054481,0.567741935483871,99.82855968769263
 'country road', 'country',0.005143809316815185,0.6926829268292684,97.56226978596318
 'cool jazz', 'soul jazz',0.0034412808809679055,0.5397727272727273,94.91061088592936
 'norteno','banda',0.005433601391001956,0.7653061224489797,93.89795918367348
